ue_id,loc_x,loc_y,tick,cell_lat,cell_lon,cell_id,cell_az_deg,cell_carrier_freq_mhz,distance_km,relative_bearing,cell_rxpower_dbm,sinr_db
0,48.51033918527679,-16.46264499243742,0,-90.0,-180.0,1,0,2100,15.917947470951372,228.5103391852768,-99.93238654929905,-3.018468738273585
1,19.286612697537294,63.617111261272214,0,-90.0,-180.0,1,0,2100,16.654617114711982,199.2866126975373,-100.32504570482831,-3.733151453588693
2,21.3157018051144,-47.88995159399691,0,-90.0,-180.0,1,0,2100,15.360440445297902,201.3157018051144,-99.62158751077496,-2.638844868216678
3,-70.55936397352436,-79.51170923753952,0,-90.0,-180.0,1,0,2100,13.970414166206563,109.44063602647566,-98.80363218351941,-1.6195353327215956
4,-168.91601110239426,-39.338640015374274,0,-90.0,-180.0,1,0,2100,15.54531750715058,11.083988897605707,-99.73019979028444,-2.4850596261493427
5,-22.782611582365462,-37.15388188752735,0,-90.0,-180.0,1,0,2100,15.587538268849979,157.21738841763454,-99.74925581193428,-2.8414940554941746
6,-102.76898044281651,29.14357444552911,0,-90.0,-180.0,1,0,2100,16.400483189494103,77.23101955718346,-100.19306233218313,-3.240381694829914
7,166.30799436013405,39.080475004530456,0,-90.0,-180.0,1,0,2100,16.48058995697898,346.30799436013405,-100.23275696477059,-3.2506348699556247
8,147.06581115853743,-9.083255941889192,0,-90.0,-180.0,1,0,2100,16.013574726239273,327.06581115853743,-99.98671876061142,-2.802415939546412
9,71.81025840602075,-41.01942524793117,0,-90.0,-180.0,1,0,2100,15.51157780956682,251.81025840602075,-99.70663659093462,-2.6221034500544964
10,-84.24844052743063,-72.61091071466358,0,-90.0,-180.0,1,0,2100,14.4759973138585,95.7515594725694,-99.10795404085721,-1.9283935028642618
11,168.93981193739694,72.44550612911789,0,-90.0,-180.0,1,0,2100,16.71049649421514,348.93981193739694,-100.34932106935764,-3.765796291399524
12,100.35545769761558,-8.008160484069052,0,-90.0,-180.0,1,0,2100,16.026773674060397,280.3554576976156,-99.99247783047349,-2.909261469307725
13,31.732047686747137,-59.339037859821964,0,-90.0,-180.0,1,0,2100,15.043144387179161,211.7320476867471,-99.44012946966032,-2.3718641152768267
14,32.548561456360915,-64.41091378393062,0,-90.0,-180.0,1,0,2100,14.86232013224132,212.5485614563609,-99.33530076777762,-2.2399446118325876
15,-172.49221445229355,9.693218042811537,0,-90.0,-180.0,1,0,2100,16.22225158140437,7.507785547706419,-100.09846374359842,-2.9376039224782744
16,165.05384529364312,-70.09005419373449,0,-90.0,-180.0,1,0,2100,14.611373687613321,345.0538452936431,-99.19434191837102,-1.9592745394911817
17,-5.731990240317572,30.86748534686646,0,-90.0,-180.0,1,0,2100,16.414848697652964,174.2680097596824,-100.19977187040936,-3.58073538407616
18,102.14167318305368,-39.077789567009845,0,-90.0,-180.0,1,0,2100,15.550453199359303,282.1416731830537,-99.72912673985982,-2.577173005982388
19,-149.5597429626567,28.79137854985224,0,-90.0,-180.0,1,0,2100,16.397522749072255,30.440257037343258,-100.19171392951827,-3.1560996216012125
20,-5.482922973713755,41.00589876652407,0,-90.0,-180.0,1,0,2100,16.495396259795097,174.5170770262862,-100.24214775687112,-3.593432738715179
21,-2.6144524155497777,48.33902487895071,0,-90.0,-180.0,1,0,2100,16.549861279640247,177.38554758445025,-100.27063161967706,-3.6230290258759714
22,158.18857960596938,-70.83781418453265,0,-90.0,-180.0,1,0,2100,14.573093157345793,338.1885796059694,-99.16979211639294,-1.9374809081758517
23,25.815624986413155,74.51204003497341,0,-90.0,-180.0,1,0,2100,16.723137654118784,205.81562498641316,-100.36030634303543,-3.9002626847691007
24,-8.989056302782217,-48.78863315128157,0,-90.0,-180.0,1,0,2100,15.338868170953408,171.01094369721773,-99.6094646938721,-2.6366633236737753
25,-83.3203027755437,-83.49068794021687,0,-90.0,-180.0,1,0,2100,13.493388996594177,96.67969722445633,-98.50405260529602,-1.305445854589899
26,-61.32435969402803,9.832420541609508,0,-90.0,-180.0,1,0,2100,16.223646915957225,118.67564030597197,-100.09808136075316,-3.201541573680382
27,7.163436916486489,-22.917140673789888,0,-90.0,-180.0,1,0,2100,15.826082535857594,187.16343691648646,-99.8818017813494,-3.183931920600762
28,-21.890937928926917,58.999586912756826,0,-90.0,-180.0,1,0,2100,16.624097434118767,158.10906207107314,-100.30918230549896,-3.683712191788167
29,-172.5979834975123,55.18019436877256,0,-90.0,-180.0,1,0,2100,16.598129592828982,7.402016502487697,-100.29281302647242,-3.4537675909086154
30,116.95699448951177,-32.656628463597436,0,-90.0,-180.0,1,0,2100,15.66921125469801,296.95699448951177,-99.7962417901393,-2.6258077418998216
31,143.23054516771788,81.72857801204776,0,-90.0,-180.0,1,0,2100,16.766069088186523,323.23054516771793,-100.38055159362985,-4.083401676029192
0,48.51033918527679,-16.46264499243742,0,0.0,0.0,2,120,2100,15.543232162662713,351.5288544329997,-99.72500320100612,-2.703762456933607
1,19.286612697537294,63.617111261272214,0,0.0,0.0,2,120,2100,15.79763586641221,249.30446873755926,-99.8660311593522,-3.064185181799547
2,21.3157018051144,-47.88995159399691,0,0.0,0.0,2,120,2100,15.558642212135695,41.811070264581986,-99.73372944112836,-2.810868069012322
3,-70.55936397352436,-79.51170923753952,0,0.0,0.0,2,120,2100,16.080604876647886,69.90250297358457,-100.02071580593451,-3.5122556658597253
4,-168.91601110239426,-39.338640015374274,0,0.0,0.0,2,120,2100,16.557321218769605,73.20054540205507,-100.27388288839597,-3.307935919284039
5,-22.782611582365462,-37.15388188752735,0,0.0,0.0,2,120,2100,15.3745130749825,87.06784628169893,-99.63058185442613,-2.659826107310548
6,-102.76898044281651,29.14357444552911,0,0.0,0.0,2,120,2100,16.23656308464679,179.75784449492653,-100.10385385465764,-3.1082213707533004
7,166.30799436013405,39.080475004530456,0,0.0,0.0,2,120,2100,16.55430877234724,256.24957369716276,-100.27278853707101,-3.309476852177516
8,147.06581115853743,-9.083255941889192,0,0.0,0.0,2,120,2100,16.6035733666585,346.38661183608724,-100.29656886789058,-3.266358808660881
9,71.81025840602075,-41.01942524793117,0,0.0,0.0,2,120,2100,15.955841679226644,12.478418381082633,-99.95295989821264,-2.997421352427722
10,-84.24844052743063,-72.61091071466358,0,0.0,0.0,2,120,2100,16.100709695492775,77.30678944019857,-100.03152156866774,-3.3552982836293643
11,168.93981193739694,72.44550612911789,0,0.0,0.0,2,120,2100,16.295019468637093,243.47288395752804,-100.13567320357862,-3.4591475883230816
12,100.35545769761558,-8.008160484069052,0,0.0,0.0,2,120,2100,16.22785467285275,338.1389987130712,-100.10003000235899,-3.070842065937613
13,31.732047686747137,-59.339037859821964,0,0.0,0.0,2,120,2100,15.783646362936247,42.68250779194102,-99.85870589300076,-3.015615561664014
14,32.548561456360915,-64.41091378393062,0,0.0,0.0,2,120,2100,15.849164734553996,45.55212372289452,-99.89474959109222,-3.1019980992203204
15,-172.49221445229355,9.693218042811537,0,0.0,0.0,2,120,2100,16.742695996858526,202.58607195113268,-100.3698393879535,-3.340716888664903
16,165.05384529364312,-70.09005419373449,0,0.0,0.0,2,120,2100,16.31342115256954,54.66330566620877,-100.1455509359808,-3.42307811789675
17,-5.731990240317572,30.86748534686646,0,0.0,0.0,2,120,2100,15.065160241479303,230.51382345905125,-99.45403160920262,-2.4627636067293626
18,102.14167318305368,-39.077789567009845,0,0.0,0.0,2,120,2100,16.219277439209616,9.713528026378413,-100.09483578751541,-3.1324429440943273
19,-149.5597429626567,28.79137854985224,0,0.0,0.0,2,120,2100,16.555173242583837,197.32695768385696,-100.27256660568344,-3.275510673405888
20,-5.482922973713755,41.00589876652407,0,0.0,0.0,2,120,2100,15.34117375937865,233.72871481225167,-99.61151514220393,-2.6554575093816575
21,-2.6144524155497777,48.33902487895071,0,0.0,0.0,2,120,2100,15.499489921535625,237.67588296827557,-99.70054993340443,-2.7800343402689593
22,158.18857960596938,-70.83781418453265,0,0.0,0.0,2,120,2100,16.299901017149736,52.643041203564735,-100.13836495070706,-3.4289869773508057
23,25.815624986413155,74.51204003497341,0,0.0,0.0,2,120,2100,15.952079926582343,246.88060284732228,-99.950652832156,-3.3119873323037248
24,-8.989056302782217,-48.78863315128157,0,0.0,0.0,2,120,2100,15.520146030061458,67.79182636939268,-99.71231994975267,-2.794557850634038
25,-83.3203027755437,-83.49068794021687,0,0.0,0.0,2,120,2100,16.111533179878624,66.46550179958305,-100.03743361675805,-3.703296435776185
26,-61.32435969402803,9.832420541609508,0,0.0,0.0,2,120,2100,15.743792778368572,161.1744053833333,-99.83648418376522,-2.8089791042792758
27,7.163436916486489,-22.917140673789888,0,0.0,0.0,2,120,2100,14.796243471284058,43.56603509507465,-99.29591745306163,-2.2857538323003923
28,-21.890937928926917,58.999586912756826,0,0.0,0.0,2,120,2100,15.738397333208765,227.3725727678504,-99.83337510359071,-2.987072915929992
29,-172.5979834975123,55.18019436877256,0,0.0,0.0,2,120,2100,16.44436627025984,234.8796527077434,-100.21479199834461,-3.3400583342769297
30,116.95699448951177,-32.656628463597436,0,0.0,0.0,2,120,2100,16.342543093752038,5.717899010471626,-100.15997443542513,-3.176084356885818
31,143.23054516771788,81.72857801204776,0,0.0,0.0,2,120,2100,16.190914229894172,244.97340187867894,-100.07995158912168,-3.6595152511145894
0,48.51033918527679,-16.46264499243742,0,90.0,180.0,3,240,2100,16.28794809704071,71.48966081472321,-100.1330564275008,-3.315920125788432
1,19.286612697537294,63.617111261272214,0,90.0,180.0,3,240,2100,14.892869826951868,100.7133873024627,-99.35350912735062,-2.2743542690322567
2,21.3157018051144,-47.88995159399691,0,90.0,180.0,3,240,2100,16.54660982023789,98.68429819488557,-100.26887404162925,-3.601897632891909
3,-70.55936397352436,-79.51170923753952,0,90.0,180.0,3,240,2100,16.75307589876117,190.5593639735244,-100.37536131699306,-4.016002295668379
4,-168.91601110239426,-39.338640015374274,0,90.0,180.0,3,240,2100,16.482587990899663,288.91601110239424,-100.23712120756575,-3.25390375930944
5,-22.782611582365462,-37.15388188752735,0,90.0,180.0,3,240,2100,16.4655519323195,142.78261158236546,-100.22597444862176,-3.5467811318593965
6,-102.76898044281651,29.14357444552911,0,90.0,180.0,3,240,2100,15.72867139837867,222.76898044281654,-99.82657540355676,-2.6886687853940954
7,166.30799436013405,39.080475004530456,0,90.0,180.0,3,240,2100,15.550400461902775,313.69200563986595,-99.72910354235219,-2.486699888123264
8,147.06581115853743,-9.083255941889192,0,90.0,180.0,3,240,2100,16.216114396776007,332.93418884146257,-100.09502027829267,-2.96646156124921
